uid,kind,mobId,speciesId,locationId,subzoneId,spaceId,level,blender_x,blender_y,blender_z,runtime_x,runtime_z,actor_radius,runtime_enabled
wv3:L01-A:MOB-02:009,ordinary,MOB-02,wolf,L01,L01-A,surface,7,-498,396,34.537,-498,-396,1.615,false
wv3:L01-A:MOB-02:010,ordinary,MOB-02,wolf,L01,L01-A,surface,7,-528,396,31.424,-528,-396,1.615,false
wv3:L01-A:MOB-02:011,ordinary,MOB-02,wolf,L01,L01-A,surface,7,-525,393,31.777,-525,-393,1.615,false
wv3:L01-A:MOB-02:012,ordinary,MOB-02,wolf,L01,L01-A,surface,8,-525,399,32.014,-525,-399,1.615,false
wv3:L01-A:MOB-02:013,ordinary,MOB-02,wolf,L01,L01-A,surface,8,-531,399,30.999,-531,-399,1.615,false
wv3:L01-A:MOB-02:014,ordinary,MOB-02,wolf,L01,L01-A,surface,8,-522,396,32.725,-522,-396,1.615,false
wv3:L01-A:MOB-02:015,ordinary,MOB-02,wolf,L01,L01-A,surface,8,-531,408,27.688,-531,-408,1.615,false
wv3:L01-A:MOB-02:016,ordinary,MOB-02,wolf,L01,L01-A,surface,9,-528,405,29.678,-528,-405,1.615,false
wv3:L01-A:MOB-02:017,ordinary,MOB-02,wolf,L01,L01-A,surface,9,-534,405,29.664,-534,-405,1.615,false
wv3:L01-A:MOB-02:018,ordinary,MOB-02,wolf,L01,L01-A,surface,9,-537,408,28.448,-537,-408,1.615,false
wv3:L01-A:MOB-02:019,ordinary,MOB-02,wolf,L01,L01-A,surface,9,-492,396,34.549,-492,-396,1.615,false
wv3:L01-A:MOB-03:000,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,1,-441,384,35,-441,-384,0.46,false
wv3:L01-A:MOB-03:001,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,1,-435,381,35,-435,-381,0.46,false
wv3:L01-A:MOB-03:002,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,1,-474,393,34.927,-474,-393,0.46,false
wv3:L01-A:MOB-03:003,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,1,-477,393,34.925,-477,-393,0.46,false
wv3:L01-A:MOB-03:004,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,1,-480,393,34.921,-480,-393,0.46,false
wv3:L01-A:MOB-03:005,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,1,-429,381,35,-429,-381,0.46,false
wv3:L01-A:MOB-03:006,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,1,-432,381,35,-432,-381,0.46,false
wv3:L01-A:MOB-03:007,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,2,-429,378,35,-429,-378,0.46,false
wv3:L01-A:MOB-03:008,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,2,-426,378,35,-426,-378,0.46,false
wv3:L01-A:MOB-03:009,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,2,-423,378,34.979,-423,-378,0.46,false
wv3:L01-A:MOB-03:010,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,2,-417,378,34.577,-417,-378,0.46,false
wv3:L01-A:MOB-03:011,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,2,-420,378,34.846,-420,-378,0.46,false
wv3:L01-A:MOB-03:012,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,2,-417,375,34.586,-417,-375,0.46,false
wv3:L01-A:MOB-03:013,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,2,-420,375,34.851,-420,-375,0.46,false
wv3:L01-A:MOB-03:014,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,3,-414,375,34.252,-414,-375,0.46,false
wv3:L01-A:MOB-03:015,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,3,-408,369,33.447,-408,-369,0.46,false
wv3:L01-A:MOB-03:016,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,3,-408,372,33.452,-408,-372,0.46,false
wv3:L01-A:MOB-03:017,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,3,-411,372,33.874,-411,-372,0.46,false
wv3:L01-A:MOB-03:018,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,3,-408,375,33.465,-408,-375,0.46,false
wv3:L01-A:MOB-03:019,ordinary,MOB-03,v3_field_rat,L01,L01-A,surface,3,-414,372,34.266,-414,-372,0.46,false
wv3:L01-A:MOB-05:000,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,7,-549,396,31.031,-549,-396,0.46,false
wv3:L01-A:MOB-05:001,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,7,-552,396,31.683,-552,-396,0.46,false
wv3:L01-A:MOB-05:002,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,7,-549,393,32.368,-549,-393,0.46,false
wv3:L01-A:MOB-05:003,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,7,-549,399,30.168,-549,-399,0.46,false
wv3:L01-A:MOB-05:004,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,7,-546,396,30.568,-546,-396,0.46,false
wv3:L01-A:MOB-05:005,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,7,-561,396,33.629,-561,-396,0.46,false
wv3:L01-A:MOB-05:006,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,7,-558,396,33.297,-558,-396,0.46,false
wv3:L01-A:MOB-05:007,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,8,-561,393,33.948,-561,-393,0.46,false
wv3:L01-A:MOB-05:008,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,8,-561,399,31.942,-561,-399,0.46,false
wv3:L01-A:MOB-05:009,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,8,-564,396,32.536,-564,-396,0.46,false
wv3:L01-A:MOB-05:010,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,8,-552,384,35,-552,-384,0.46,false
wv3:L01-A:MOB-05:011,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,8,-552,387,34.931,-552,-387,0.46,false
wv3:L01-A:MOB-05:012,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,8,-555,384,35,-555,-384,0.46,false
wv3:L01-A:MOB-05:013,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,8,-552,381,35,-552,-381,0.46,false
wv3:L01-A:MOB-05:014,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,9,-549,387,34.483,-549,-387,0.46,false
wv3:L01-A:MOB-05:015,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,9,-543,408,29.099,-543,-408,0.46,false
wv3:L01-A:MOB-05:016,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,9,-540,408,28.838,-540,-408,0.46,false
wv3:L01-A:MOB-05:017,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,9,-543,411,27.663,-543,-411,0.46,false
wv3:L01-A:MOB-05:018,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,9,-540,405,29.696,-540,-405,0.46,false
wv3:L01-A:MOB-05:019,ordinary,MOB-05,v3_armored_beetle,L01,L01-A,surface,9,-546,411,28.358,-546,-411,0.46,false
wv3:L01-B:MOB-10:000,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,16,-570,339,32.724,-570,-339,0.46,false
wv3:L01-B:MOB-10:001,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,16,-570,342,32.303,-570,-342,0.46,false
wv3:L01-B:MOB-10:002,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,16,-573,339,31.566,-573,-339,0.46,false
wv3:L01-B:MOB-10:003,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,16,-567,339,33.651,-567,-339,0.46,false
wv3:L01-B:MOB-10:004,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,16,-570,336,33.144,-570,-336,0.46,false
wv3:L01-B:MOB-10:005,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,16,-570,351,31.094,-570,-351,0.46,false
wv3:L01-B:MOB-10:006,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,16,-570,348,31.483,-570,-348,0.46,false
wv3:L01-B:MOB-10:007,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,17,-573,351,29.348,-573,-351,0.46,false
wv3:L01-B:MOB-10:008,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,17,-567,351,32.56,-567,-351,0.46,false
wv3:L01-B:MOB-10:009,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,17,-570,354,30.719,-570,-354,0.46,false
wv3:L01-B:MOB-10:010,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,17,-582,339,27.002,-582,-339,0.46,false
wv3:L01-B:MOB-10:011,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,17,-579,339,28.662,-579,-339,0.46,false
wv3:L01-B:MOB-10:012,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,17,-582,342,25.987,-582,-342,0.46,false
wv3:L01-B:MOB-10:013,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,17,-582,336,28.018,-582,-336,0.46,false
wv3:L01-B:MOB-10:014,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,18,-585,339,25.317,-585,-339,0.46,false
wv3:L01-B:MOB-10:015,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,18,-558,339,34.964,-558,-339,0.46,false
wv3:L01-B:MOB-10:016,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,18,-561,339,34.752,-561,-339,0.46,false
wv3:L01-B:MOB-10:017,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,18,-558,342,34.954,-558,-342,0.46,false
wv3:L01-B:MOB-10:018,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,18,-558,336,34.975,-558,-336,0.46,false
wv3:L01-B:MOB-10:019,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,18,-555,339,35,-555,-339,0.46,false
wv3:L01-B:MOB-10:020,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,19,-561,327,34.99,-561,-327,0.46,false
wv3:L01-B:MOB-10:021,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,19,-561,330,34.931,-561,-330,0.46,false
wv3:L01-B:MOB-10:022,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,19,-564,327,34.905,-564,-327,0.46,false
wv3:L01-B:MOB-10:023,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,19,-558,327,35.001,-558,-327,0.46,false
wv3:L01-B:MOB-10:024,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,19,-561,324,35.029,-561,-324,0.46,false
wv3:L01-B:MOB-10:025,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,19,-582,351,23.078,-582,-351,0.46,false
wv3:L01-B:MOB-10:026,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,19,-579,351,25.27,-579,-351,0.46,false
wv3:L01-B:MOB-10:027,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,20,-582,348,24.012,-582,-348,0.46,false
wv3:L01-B:MOB-10:028,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,20,-582,354,22.187,-582,-354,0.46,false
wv3:L01-B:MOB-10:029,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,20,-585,351,20.949,-585,-351,0.46,false
wv3:L01-B:MOB-10:030,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,20,-558,351,34.922,-558,-351,0.46,false
wv3:L01-B:MOB-10:031,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,20,-561,351,34.489,-561,-351,0.46,false
wv3:L01-B:MOB-10:032,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,20,-558,348,34.932,-558,-348,0.46,false
wv3:L01-B:MOB-10:033,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,20,-558,354,34.912,-558,-354,0.46,false
wv3:L01-B:MOB-10:034,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,21,-555,351,35,-555,-351,0.46,false
wv3:L01-B:MOB-10:035,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,21,-570,363,29.727,-570,-363,0.46,false
wv3:L01-B:MOB-10:036,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,21,-570,360,30.034,-570,-360,0.46,false
wv3:L01-B:MOB-10:037,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,21,-573,363,27.491,-573,-363,0.46,false
wv3:L01-B:MOB-10:038,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,21,-567,363,31.64,-567,-363,0.46,false
wv3:L01-B:MOB-10:039,ordinary,MOB-10,v3_poacher,L01,L01-B,surface,21,-573,360,27.894,-573,-360,0.46,false
wv3:L02-A:MOB-01:000,ordinary,MOB-01,spider,L02,L02-A,surface,1,-225,207,56.68,-225,-207,0.46,false
wv3:L02-A:MOB-01:001,ordinary,MOB-01,spider,L02,L02-A,surface,1,-228,207,54.694,-228,-207,0.46,false
wv3:L02-A:MOB-01:002,ordinary,MOB-01,spider,L02,L02-A,surface,1,-225,210,56.461,-225,-210,0.46,false
wv3:L02-A:MOB-01:003,ordinary,MOB-01,spider,L02,L02-A,surface,1,-225,204,56.87,-225,-204,0.46,false
wv3:L02-A:MOB-01:004,ordinary,MOB-01,spider,L02,L02-A,surface,1,-222,207,57.825,-222,-207,0.46,false
wv3:L02-A:MOB-01:005,ordinary,MOB-01,spider,L02,L02-A,surface,1,-237,207,50.992,-237,-207,0.46,false
wv3:L02-A:MOB-01:006,ordinary,MOB-01,spider,L02,L02-A,surface,1,-234,207,51.04,-234,-207,0.46,false
wv3:L02-A:MOB-01:007,ordinary,MOB-01,spider,L02,L02-A,surface,1,-237,210,50.33,-237,-210,0.46,false
wv3:L02-A:MOB-01:008,ordinary,MOB-01,spider,L02,L02-A,surface,1,-237,204,51.646,-237,-204,0.46,false
wv3:L02-A:MOB-01:009,ordinary,MOB-01,spider,L02,L02-A,surface,2,-240,207,51.074,-240,-207,0.46,false
wv3:L02-A:MOB-01:010,ordinary,MOB-01,spider,L02,L02-A,surface,2,-225,219,55.878,-225,-219,0.46,false
wv3:L02-A:MOB-01:011,ordinary,MOB-01,spider,L02,L02-A,surface,2,-225,216,56.055,-225,-216,0.46,false
wv3:L02-A:MOB-01:012,ordinary,MOB-01,spider,L02,L02-A,surface,2,-228,219,53.332,-228,-219,0.46,false
wv3:L02-A:MOB-01:013,ordinary,MOB-01,spider,L02,L02-A,surface,2,-222,219,57.346,-222,-219,0.46,false
wv3:L02-A:MOB-01:014,ordinary,MOB-01,spider,L02,L02-A,surface,2,-225,222,55.724,-225,-222,0.46,false
wv3:L02-A:MOB-01:015,ordinary,MOB-01,spider,L02,L02-A,surface,2,-225,195,57.454,-225,-195,0.46,false
wv3:L02-A:MOB-01:016,ordinary,MOB-01,spider,L02,L02-A,surface,2,-225,198,57.263,-225,-198,0.46,false
wv3:L02-A:MOB-01:017,ordinary,MOB-01,spider,L02,L02-A,surface,2,-228,195,56.014,-228,-195,0.46,false
wv3:L02-A:MOB-01:018,ordinary,MOB-01,spider,L02,L02-A,surface,3,-222,195,58.307,-222,-195,0.46,false
wv3:L02-A:MOB-01:019,ordinary,MOB-01,spider,L02,L02-A,surface,3,-225,192,57.616,-225,-192,0.46,false
wv3:L02-A:MOB-01:020,ordinary,MOB-01,spider,L02,L02-A,surface,3,-213,207,58.159,-213,-207,0.46,false
wv3:L02-A:MOB-01:021,ordinary,MOB-01,spider,L02,L02-A,surface,3,-213,210,58.047,-213,-210,0.46,false
wv3:L02-A:MOB-01:022,ordinary,MOB-01,spider,L02,L02-A,surface,3,-213,204,58.273,-213,-204,0.46,false
wv3:L02-A:MOB-01:023,ordinary,MOB-01,spider,L02,L02-A,surface,3,-210,207,58.352,-210,-207,0.46,false
wv3:L02-A:MOB-01:024,ordinary,MOB-01,spider,L02,L02-A,surface,3,-210,210,58.226,-210,-210,0.46,false
wv3:L02-A:MOB-01:025,ordinary,MOB-01,spider,L02,L02-A,surface,3,-237,219,48.546,-237,-219,0.46,false
wv3:L02-A:MOB-01:026,ordinary,MOB-01,spider,L02,L02-A,surface,3,-237,216,48.98,-237,-216,0.46,false
wv3:L02-A:MOB-01:027,ordinary,MOB-01,spider,L02,L02-A,surface,4,-234,219,48.476,-234,-219,0.46,false
wv3:L02-A:MOB-01:028,ordinary,MOB-01,spider,L02,L02-A,surface,4,-240,219,48.869,-240,-219,0.46,false
wv3:L02-A:MOB-01:029,ordinary,MOB-01,spider,L02,L02-A,surface,4,-234,216,49.007,-234,-216,0.46,false
wv3:L02-A:MOB-01:030,ordinary,MOB-01,spider,L02,L02-A,surface,4,-237,195,53.387,-237,-195,0.46,false
wv3:L02-A:MOB-01:031,ordinary,MOB-01,spider,L02,L02-A,surface,4,-237,198,52.851,-237,-198,0.46,false
wv3:L02-A:MOB-01:032,ordinary,MOB-01,spider,L02,L02-A,surface,4,-234,195,53.462,-234,-195,0.46,false
wv3:L02-A:MOB-01:033,ordinary,MOB-01,spider,L02,L02-A,surface,4,-240,195,53.335,-240,-195,0.46,false
wv3:L02-A:MOB-01:034,ordinary,MOB-01,spider,L02,L02-A,surface,4,-237,192,53.881,-237,-192,0.46,false
wv3:L02-A:MOB-03:000,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,1,-249,216,50.076,-249,-216,0.46,false
wv3:L02-A:MOB-03:001,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,1,-246,216,49.724,-246,-216,0.46,false
wv3:L02-A:MOB-03:002,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,1,-249,213,50.598,-249,-213,0.46,false
wv3:L02-A:MOB-03:003,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,1,-252,216,50.458,-252,-216,0.46,false
wv3:L02-A:MOB-03:004,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,1,-246,213,50.287,-246,-213,0.46,false
wv3:L02-A:MOB-03:005,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,1,-249,204,52.056,-249,-204,0.46,false
wv3:L02-A:MOB-03:006,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,1,-249,207,51.591,-249,-207,0.46,false
wv3:L02-A:MOB-03:007,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,1,-246,204,51.883,-246,-204,0.46,false
wv3:L02-A:MOB-03:008,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,1,-252,204,52.27,-252,-204,0.46,false
wv3:L02-A:MOB-03:009,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,2,-249,201,52.478,-249,-201,0.46,false
wv3:L02-A:MOB-03:010,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,2,-213,219,57.703,-213,-219,0.46,false
wv3:L02-A:MOB-03:011,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,2,-213,216,57.819,-213,-216,0.46,false
wv3:L02-A:MOB-03:012,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,2,-213,222,57.589,-213,-222,0.46,false
wv3:L02-A:MOB-03:013,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,2,-210,219,57.841,-210,-219,0.46,false
wv3:L02-A:MOB-03:014,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,2,-210,216,57.97,-210,-216,0.46,false
wv3:L02-A:MOB-03:015,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,2,-213,195,58.602,-213,-195,0.46,false
wv3:L02-A:MOB-03:016,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,2,-213,198,58.494,-213,-198,0.46,false
wv3:L02-A:MOB-03:017,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,3,-213,192,58.71,-213,-192,0.46,false
wv3:L02-A:MOB-03:018,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,3,-210,195,58.835,-210,-195,0.46,false
wv3:L02-A:MOB-03:019,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,3,-210,198,58.719,-210,-198,0.46,false
wv3:L02-A:MOB-03:020,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,3,-201,216,63.074,-201,-216,0.46,false
wv3:L02-A:MOB-03:021,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,3,-204,216,60.736,-204,-216,0.46,false
wv3:L02-A:MOB-03:022,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,3,-201,219,63.019,-201,-219,0.46,false
wv3:L02-A:MOB-03:023,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,3,-201,213,63.14,-201,-213,0.46,false
wv3:L02-A:MOB-03:024,ordinary,MOB-03,v3_field_rat,L02,L02-A,surface,3,-198,216,64.934,-198,-216,0.46,false
wv3:L02-B:MOB-04:000,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,3,-249,165,55.346,-249,-165,0.46,false
wv3:L02-B:MOB-04:001,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,3,-252,165,55.166,-252,-165,0.46,false
wv3:L02-B:MOB-04:002,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,3,-249,168,55.236,-249,-168,0.46,false
wv3:L02-B:MOB-04:003,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,3,-249,162,55.437,-249,-162,0.46,false
wv3:L02-B:MOB-04:004,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,3,-246,165,55.491,-246,-165,0.46,false
wv3:L02-B:MOB-04:005,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,3,-261,165,54.698,-261,-165,0.46,false
wv3:L02-B:MOB-04:006,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,3,-258,165,54.816,-258,-165,0.46,false
wv3:L02-B:MOB-04:007,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,3,-261,168,54.564,-261,-168,0.46,false
wv3:L02-B:MOB-04:008,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,3,-261,162,54.855,-261,-162,0.46,false
wv3:L02-B:MOB-04:009,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,3,-264,165,54.638,-264,-165,0.46,false
wv3:L02-B:MOB-04:010,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,3,-249,177,54.805,-249,-177,0.46,false
wv3:L02-B:MOB-04:011,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,3,-249,174,54.972,-249,-174,0.46,false
wv3:L02-B:MOB-04:012,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,4,-252,177,54.608,-252,-177,0.46,false
wv3:L02-B:MOB-04:013,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,4,-246,177,55.012,-246,-177,0.46,false
wv3:L02-B:MOB-04:014,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,4,-249,180,54.62,-249,-180,0.46,false
wv3:L02-B:MOB-04:015,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,4,-249,153,55.684,-249,-153,0.46,false
wv3:L02-B:MOB-04:016,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,4,-249,156,55.6,-249,-156,0.46,false
wv3:L02-B:MOB-04:017,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,4,-252,153,55.68,-252,-153,0.46,false
wv3:L02-B:MOB-04:018,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,4,-246,153,55.618,-246,-153,0.46,false
wv3:L02-B:MOB-04:019,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,4,-249,150,55.754,-249,-150,0.46,false
wv3:L02-B:MOB-04:020,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,4,-237,165,55.535,-237,-165,0.46,false
wv3:L02-B:MOB-04:021,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,4,-240,165,55.6,-240,-165,0.46,false
wv3:L02-B:MOB-04:022,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,4,-237,168,55.582,-237,-168,0.46,false
wv3:L02-B:MOB-04:023,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,5,-237,162,55.442,-237,-162,0.46,false
wv3:L02-B:MOB-04:024,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,5,-234,165,55.386,-234,-165,0.46,false
wv3:L02-B:MOB-04:025,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,5,-261,177,54.277,-261,-177,0.46,false
wv3:L02-B:MOB-04:026,ordinary,MOB-04,v3_forest_boar,L02,L02-B,surface,5,-261,174,54.36,-261,-174,0.46,false
